label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
5	1159 m/(s^2)	1.7741	Robotics Engineering	Games and Playable Media, Bioengineering, Technology and Information Management, Applied Mathematics, Human Computer Interaction	Tony	0.6327	229	0.4205	1409	Vani	0.1668 N	CHULA VISTA, FRESNO	0.9092
1	760 m/(s^2)	0.873	Human Computer Interaction	Computer Game Design	Vani	1.3118	1100	0.4542	429	Michael	1.3073 N	Modesto, San Bernardino	0.1246
2	1149 m/(s^2)	0.5004	Applied Mathematics	n/a	Fabrice	1.4131	477	1.0778	1155	Andrew	0.7625 N	Irvine	0.8354
4	466 m/(s^2)	-0.0968	Computer Game Design	Computer Engineering	lise	1.2882	1398	1.0534	1254	Vani	0.8189 N	santa clarita, anaheim, los angeles	0.7251
3	183 m/(s^2)	0.1045	Bioengineering	Biotechnology	Chris	1.17	114	0.6937	1505	Fabrice	0.5156 N	San Diego, Bakersfield	0.4227
3	184 m/(s^2)	0.2319	Computer Science	Bioinformatics	Chris	1.1922	-114	0.7671	908	Andrew	0.8695 N	San Diego, San Francisco	0.189
4	231 m/(s^2)	-0.0208	Computer Game Design	Natural Language Processing	Reilly	1.1265	997	0.83	1030	Reilly	0.9146 N	?	0.6945
1	556 m/(s^2)	1.4068	Biotechnology	Computer Game Design	Vani	0.673	841	1.1325	335	Andrew	0.762 N	Santa Ana, Stockton	0.6126
0	909 m/(s^2)	0.9869	Electrical Engineering	Computational Media	Michael	0.4233	82	0.8182	183	Sam	1.498 N	Stockton, Santa Ana	-0.6052
2	852 m/(s^2)	1.5801	Natural Language Processing	Data Science	Fabrice	1.0435	1092	1.0258	827	Andrew	1.154 N	Santa Ana	1.0751
4	1261 m/(s^2)	-0.2337	Human Computer Interaction	Natural Language Processing	Reilly	0.6012	707	0.7391	869	Reilly	1.4946 N	Sacramento, Los Angeles, Anaheim	0.5785
4	332 m/(s^2)	-0.1802	Computer Game Design	Computer Engineering	Lise	1.5468	943	1.3319	1002	Vani	0.9512 N	Los Angeles, Sacramento, Moreno Valley, Santa Clarita	0.851
1	None	1.4986	Human Computer Interaction	COMPUTER GAME DESIGN	Vani	1.2821	764	1.2695	222	Chris	0.7522 N	Modesto, Oakland, San Bernardino	1.0995
3	361 m/(s^2)	0.5532	Computer Engineering	Biotechnology	Chris	1.26	345	0.7279	613	Fabrice	1.0581 N	San Francisco, Bakersfield	0.0063
4	331 m/(s^2)	0.218	Computer Game Design	Natural Language Processing	Reilly	0.4872	834	0.5273	1283	Reilly	0.6899 N	Sacramento, Moreno Valley, Santa Clarita	0.5764
1	749 m/(s^2)	1.2073	Biotechnology	Computer Game Design	Vani	0.8088	1027	1.1879	462	Sam	1.3711 N	San Bernardino	1.1449
1	1026 m/(s^2)	1.2215	Biotechnology	Computer Game Design	Vani	0.8983	794	1.1378	-133	Chris	0.8402 N	San Bernardino, San Jose, Oakland	0.7378
2	498 m/(s^2)	1.2404	Natural Language Processing	Applied Mathematics, Bioengineering, Human Computer Interaction	Chris	1.3432	821	0.649	664	Andrew	0.8404 N	Irvine	1.0843
3	305 m/(s^2)	0.2894	Bioengineering	Biotechnology	Chris	0.7483	-8	1.6615	958	Lise	1.0806 N	Bakersfield	0.5544
2	726 m/(s^2)	0.6334	Applied Mathematics	Computer Science	Eriq	0.5755	953	1.3412	1373	Andrew	0.9749 N	Long Beach	0.7594
3	-128 m/(s^2)	0.6362	Bioinformatics	Biotechnology	Chris	1.2219	-21	NULL	970	Fabrice	0.6585 N	San Francisco	0.5372
0	1138 m/(s^2)	0.9703	Electrical Engineering	Robotics Engineering	ANDREW	1.0676	226	1.1875	873	Sam	1.0132 N	Santa Ana	0.3372
2	753 m/(s^2)	0.8366	Human Computer Interaction	Computer Science	Eriq	0.9628	755	0.6623	942	Andrew	0.9085 N	Irvine	1.2073
5	1076 m/(s^2)	NULL	Computer Game Design	Electrical Engineering, Human Computer Interaction, Technology and Information Management, Applied Mathematics	Sam	0.7626	899	0.3002	788	LISE	0.4671 N	Fremont	0.342
2	853 m/(s^2)	1.4596	Applied Mathematics	Data Science	Eriq	0.727	629	0.9264	1178	Andrew	0.534 N	Long Beach	1.0716
4	437 m/(s^2)	-0.1732	Games and Playable Media	Statistics	Lise	1.1232	282	0.7052	908	Vani	1.2982 N	Santa Clarita	0.4058
3	377 m/(s^2)	0.0856	Computer Science	Bioinformatics	cHRIS	1.1205	-64	1.3048	1338	Tony	0.7443 N	Bakersfield, San Diego	0.2802
2	743 m/(s^2)	1.0861	Natural Language Processing	Computer Science	Eriq	1.2156	1162	0.9935	1239	Andrew	0.7638 N	Long Beach	0.9016
1	876 m/(s^2)	1.0755	Human Computer Interaction	Statistics	Vani	1.3253	1084	0.5694	956	chris	0.7795 N	San Jose, San Bernardino, Oakland	0.9533
2	728 m/(s^2)	1.1625	Natural Language Processing	Computer Science	Chris	1.218	725	1.1385	813	Andrew	1.1713 N	Irvine	1.1893
0	1252 m/(s^2)	1.0245	Robotics Engineering	Computational Media	Michael	0.7294	104	1.0975	1266	Sam	0.5307 N	Riverside, Stockton	0.5564
2	490 m/(s^2)	0.8568	Natural Language Processing	Data Science	Fabrice	1.4528	943	0.5992	1196	Andrew	1.1645 N	Long Beach	0.9057
5	419 m/(s^2)	0.9509	Electrical Engineering	Electrical Engineering, Games and Playable Media, Technology and Information Management, Bioengineering, Applied Mathematics	Tony	0.5921	378	0.5067	754	Lise	0.5719 N	Fresno, Fremont	N/A
3	117 m/(s^2)	0.5477	Statistics	Bioinformatics	Chris	1.4098	-410	0.7367	1115	Tony	0.5174 N	Bakersfield, San Diego	1.186
2	NULL	1.3488	Applied Mathematics	Computer Science	Andrew	1.019	939	0.9379	305	Andrew	1.0455 N	Irvine	0.1924
4	339 m/(s^2)	0.4454	Computer Game Design	Natural Language Processing	Reilly	0.928	672	1.1533	837	Sam	1.0114 N	Los Angeles, Moreno Valley, Sacramento, Anaheim	0.1763
0	1015 m/(s^2)	1.0416	Electrical Engineering	Computational Media	Andrew	0.9275	591	0.461	862	Inan	0.6106 N	Riverside, Santa Ana	0.9458
5	1085 m/(s^2)	1.3518	Computational Media	Applied Mathematics	Sam	0.6454	905	0.3343	1025	Lise	-0.2112 N	Fresno	1.0791
4	754 m/(s^2)	0.2833	Computer Game Design	Computer Engineering	Reilly	1.4107	905	0.4824	1076	Eriq	0.6694 N	Sacramento	0.6095
3	380 m/(s^2)	0.564	Bioengineering	Robotics Engineering	Chris	1.0246	366	0.7761	1296	Fabrice	0.7583 N	San Diego, San Francisco	0.3463
4	584 m/(s^2)	0.1644	Natural Language Processing	Computer Engineering	NULL	1.2953	851	1.5584	233	Vani	0.8946 N	Santa Clarita, Anaheim, Los Angeles	0.6101
1	982 m/(s^2)	0.6124	Human Computer Interaction	Computer Game Design	Vani	1.146	791	1.3921	237	Chris	0.0621 N	San Jose, Oakland	1.0926
0	653 m/(s^2)	1.0204	Electrical Engineering	Computational Media	Inan	0.8336	-244	1.3364	1206	Inan	0.6016 N	Santa Ana, Riverside	0.2562
3	-30 m/(s^2)	-0.1304	Computer Engineering	Biotechnology	Chris	1.4165	147	0.6778	420	Fabrice	1.0779 N	San Diego	1.0037
0	881 m/(s^2)	0.8199	Electrical Engineering	Robotics Engineering	Vani	0.781	91	0.7157	702	Inan	1.578 N	Riverside	0.0871
2	1206 m/(s^2)	0.9122	Applied Mathematics	Computer Science	Eriq	0.6751	692	1.0702	1000	Andrew	1.048 N	Irvine	0.9222
2	1292 m/(s^2)	1.4005	Natural Language Processing	Data Science	Fabrice	1.4484	793	1.4357	657	Andrew	0.5134 N	San Francisco, Bakersfield	0.8911
5	930 m/(s^2)	0.5842	Computer Game Design	Games and Playable Media	Sam	0.8431	623	0.3636	581	Lise	0.3335 N	Fresno, Chula Vista	0.7443
5	1045 m/(s^2)	1.0757	cOMPUTATIONAL mEDIA	Human Computer Interaction, Games and Playable Media, Technology and Information Management	Vani	0.6228	973	0.0632	1040	Lise	0.2881 N	Fresno, Fremont	1.1951
1	473 m/(s^2)	1.2739	Computational Media	Computer Game Design	Vani	0.3972	842	1.1388		Chris	0.9302 N	San Bernardino	0.9747
5	573 m/(s^2)	1.2369	Computational Media	Electrical Engineering	Sam	0.6142	283	0.4688	230	Lise	0.8657 N	Los Angeles, Sacramento, Anaheim	0.8209
1	868 m/(s^2)	0.3742	Human Computer Interaction	Statistics	Vani	1.3731	916	0.2568	236	Michael	1.1077 N	San Jose, Modesto	0.6095
4	194 m/(s^2)	-0.2762	Computer Game Design	Natural Language Processing	Vani	1.1485	697	1.6626	644	Vani	1.1027 N	Santa Clarita, Moreno Valley, Anaheim	0.5472
1	912 m/(s^2)	0.5589	Games and Playable Media	Statistics	Eriq	1.2133	762	1.012	1021	Michael	0.6295 N	San Bernardino	1.0873
5	1232 m/(s^2)	1.4277	Technology and Information Management	Technology and Information Management, Bioengineering, Human Computer Interaction	Chris	0.3625	530	0.9768	1145	Lise	0.3339 N	Fremont	1.0957
0	1041 m/(s^2)	1.348	Electrical Engineering	Computational Media	Michael	0.5797	235	0.8717	765	Vani	0.7308 N	Stockton	0.005
5	990 m/(s^2)	1.1196	Data Science	Bioengineering, Applied Mathematics, Electrical Engineering, Technology and Information Management, Human Computer Interaction	Lise	0.4587	418	-0.07	890	Lise	0.3042 N	Fresno	1.1888
2	1052 m/(s^2)	0.7923	Electrical Engineering	Computer Science	Eriq	0.9435	524	0.5276	1279	Sam	1.1815 N	Irvine	1.4042
4	873 m/(s^2)	-0.3248	Games and Playable Media	Natural Language Processing	Reilly	0.9077	1002	1.7236	997	Reilly	1.0852 N	Los Angeles	0.7797
5	999 m/(s^2)	1.1792	Robotics Engineering	Bioengineering	Inan	0.5389	873	0.5415	826	Lise	0.0963 N	Fresno	0.9733
0	814 m/(s^2)	1.2395	Electrical Engineering	Robotics Engineering	Andrew	0.7234	456	1.0147	403	Inan	0.9398 N	Stockton, Riverside	0.1624
4	876 m/(s^2)	-0.1937	Games and Playable Media	N/A	Eriq	1.318	828	0.7162	483	Eriq	0.7824 N	Santa Clarita, Moreno Valley	0.9176
5	1125 m/(s^2)	1.2101	Technology and Information Management	Technology and Information Management	Tony	-0.1077	811	1.0022	924	Lise	n/a	Fremont	0.7707
0	691 m/(s^2)	0.6061	Electrical Engineering	Computational Media	Andrew	1.2969	460	0.3586	130	Sam	0.7482 N	Stockton, Riverside	0.3649
2	575 m/(s^2)	0.728	Natural Language Processing	Computer Game Design	Fabrice	1.0875	1177	1.0338	1420	Andrew	1.0744 N	Irvine	0.6264
5	707 m/(s^2)	1.4073	Electrical Engineering	Human Computer Interaction, Technology And Information Management	Tony	n/a	407	0.8175	772	Lise	0.1833 N	Fremont, Fresno	0.6142
0	1256 m/(s^2)	NULL	Games and Playable Media	Robotics Engineering	Michael	1.1968	-6	0.693	1147	Sam	1.1143 N	Riverside	0.1493
5	1180 m/(s^2)	1.6829	Computational Media	Applied Mathematics, Human Computer Interaction, Bioengineering, Electrical Engineering, Technology and Information Management	Tony	0.493	715	-0.0515	603	Lise	0.0801 N	Chula Vista, Fresno	0.8985
2		0.4719	Natural Language Processing	Computer Science	Fabrice	0.851	1341	1.4201	1238	Andrew	1.0122 N	Irvine	1.2988
5	510 m/(s^2)	0.7783	Technology and Information Management	Electrical Engineering	Vani	0.5284	511	1.0347	868	Lise	0.2961 N	Fremont, Chula Vista	1.0893
1	1016 m/(s^2)	0.9184	Technology and Information Management	Statistics	Vani	0.9354	1383	0.8753	-326	Chris	0.5929 N	Long Beach	0.9854
1	643 m/(s^2)	1.1655	Human Computer Interaction	Computer Game Design	Vani	0.6335	1219	1.595	333	Michael	0.5668 N	San Bernardino	0.646
4	606 m/(s^2)	-0.3094	Biotechnology	Computer Engineering	Reilly	0.5267	924	0.9302	833	Eriq	1.0155 N	Sacramento	0.9634
4	288 m/(s^2)	0.0153	Games and Playable Media	Natural Language Processing	Reilly	1.1424	1170	1.5237	669	Reilly	0.8328 N	Anaheim, Santa Clarita, Moreno Valley	0.9511
1	608 m/(s^2)	0.2739	Human Computer Interaction	Statistics	Vani	0.7833	623	1.2235	396	Michael	0.9622 N	Modesto, San Jose	1.1696
1	901 m/(s^2)	1.3353	Biotechnology	NULL	Vani	0.8845	862	0.9375	332	Chris	1.0367 N	Oakland, Modesto	0.8772
0	963 m/(s^2)	1.0761	Electrical Engineering	Computational Media	Michael	0.4388	46	0.9691	1092	Sam	0.916 N	Riverside, Stockton	0.4475
0	932 m/(s^2)	0.7775	Electrical Engineering	Robotics Engineering	Michael	0.8611	854	1.1271	727	Vani	0.8946 N	Stockton, Riverside	0.0438
4	120 m/(s^2)	-0.2427	Games and Playable Media	Natural Language Processing	Reilly	0.6957	1585	1.1143	329	Eriq	1.3778 N	Los Angeles, Moreno Valley	1.2748
4	1102 m/(s^2)	-0.4225	Computer Game Design	Computer Engineering	Lise	0.9746	768	0.6886	1118	Eriq	0.7501 N	Anaheim, Santa Clarita, Sacramento	0.4509
3	407 m/(s^2)	0.1549	Technology and Information Management	Bioinformatics	Chris	1.7912	-116	0.775	947	Fabrice	0.4513 N	San Francisco, Bakersfield	0.4877
4	406 m/(s^2)	0.0894	Games and Playable Media	Natural Language Processing	Reilly	1.1029	884	1.1711	1050	Inan	0.7837 N	Moreno Valley, Sacramento, Anaheim, Los Angeles	1.0192
5	891 m/(s^2)	0.9848	Technology and Information Management	Applied Mathematics, Technology and Information Management	sAM	0.5059	293	0.5039	1114	Lise	-0.0166 N	Fresno, Fremont	0.7619
5	1082 m/(s^2)	1.2528	Data Science	Technology and Information Management, Bioengineering, Games and Playable Media, Human Computer Interaction, Electrical Engineering	Inan	0.6466	574	0.9348	1031	lise	0.0921 N	Fresno	1.169
4	779 m/(s^2)	0.0485	Computer Game Design	Robotics Engineering	Lise	1.0751	616	0.4659	1114	Vani	1.0142 N	Santa Clarita, Sacramento, Anaheim	1.1002
4	738 m/(s^2)	0.1656	Computer Game Design	Computer Engineering	Lise	0.2736	15	1.3839	904	Reilly	0.736 N	Santa Clarita, Sacramento	0.4591
2	937 m/(s^2)	1.1804	Natural Language Processing	Data Science	Fabrice	1.3074	581	1.3673	850	Andrew	0.5974 N	Long Beach	1.097
4	233 m/(s^2)	-0.136	Computer Game Design	Computer Engineering	Reilly	0.811	873	0.7811	1167	Vani	1.1682 N	Sacramento, Anaheim	0.8148
5	1241 m/(s^2)	0.1879	Robotics Engineering	Bioengineering	Sam	0.3715	171	0.5458	1068	Lise	0.4511 N	Fresno, Fremont	0.9813
5	1516 m/(s^2)	1.8546	Robotics Engineering	Electrical Engineering, Games and Playable Media, Human Computer Interaction, Technology and Information Management	Tony	0.7263	533	0.0405	1270	Lise	0.5685 N	Fresno	1.0955
2	764 m/(s^2)	0.9236	Natural Language Processing	Data Science	Eriq	1.0119	765	1.3021	1015	Andrew	1.0827 N	Irvine	1.1489
3	439 m/(s^2)	0.6706	Computer Engineering	Biotechnology	Chris	0.7949	421	1.0211	978	Tony	0.8394 N	Bakersfield, San Francisco	0.3712
2	1042 m/(s^2)	?	Natural Language Processing	Data Science	Eriq	1.2765	889	0.7479	?	Andrew	1.1485 N	Irvine	0.5299
4	639 m/(s^2)	-0.2307	Games and Playable Media	Computer Engineering	Reilly	1.5481	1021	0.7366	1170	Vani	1.0433 N	Anaheim, Santa Clarita, Moreno Valley	0.6865
3	-66 m/(s^2)	0.3393	Data Science	Biotechnology	Chris	0.9719	-128	0.8844	631	Fabrice	0.6328 N	San Francisco, San Diego	0.7674
4	498 m/(s^2)	0.0551	Computer Game Design	nATURAL lANGUAGE pROCESSING	Reilly	1.5364	1005	1.2072	813	Eriq	0.9878 N	Sacramento, Anaheim, Moreno Valley	0.5276
3	622 m/(s^2)	0.6368	Bioengineering	Biotechnology	Chris	0.9431	-288	0.9172	809	Fabrice	0.0498 N	San Diego, Bakersfield	0.4772
4	778 m/(s^2)	0.4189	Human Computer Interaction	Computer Engineering	Lise	1.0259	1175	0.6852	798	Reilly	1.0484 N	Fremont, Fresno	0.5913
3	-154 m/(s^2)	0.5067	Applied Mathematics	Biotechnology	Chris	1.5378	?	1.2402	636	Tony	0.3187 N	Bakersfield	1.0247
2	1039 m/(s^2)	0.7725	Natural Language Processing	Computer Science	Fabrice	1.4541	1306	1.1874	1017	Andrew	1.1514 N	Long Beach	0.8621
1	1054 m/(s^2)	1.2891	Biotechnology	Statistics	Vani	0.7495	877	0.7951	510	Chris	0.7793 N	San Jose	0.6957
5	1342 m/(s^2)	0.7167	Data Science	Games and Playable Media, Applied Mathematics, Electrical Engineering, Bioengineering	Sam	0.4108	627	0.3468	1344	Lise	0.1278 N	Fresno, Chula Vista	1.0165
0	653 m/(s^2)	1.159	Electrical Engineering	Computational Media	Michael	None	12	1.2219	969	Sam	0.3216 N	Riverside	0.6402
1	907 m/(s^2)	1.0506	Biotechnology	Statistics	Vani	N/A	781	0.5916	41	Chris	0.8103 N	San Jose, San Bernardino	0.3701
0	960 m/(s^2)	0.9388	Electrical Engineering	Computational Media	Michael	0.5863	231	1.0537	1154	Chris	0.9295 N	Stockton, Santa Ana	0.5437
1	614 m/(s^2)	1.6566	Technology and Information Management	Statistics	Vani	1.3086	780	0.5681	-33	Fabrice	0.6403 N	San Jose, Modesto, Oakland	0.9171
0	1293 m/(s^2)	1.6517	Electrical Engineering	Robotics Engineering	Michael	0.955	333	1.0397	1047	Inan	1.2802 N	Stockton, Riverside	0.14
3	296 m/(s^2)	0.2621	Computer Science	Biotechnology	Inan	0.9532	264	0.8038	1023	Fabrice	0.5004 N	Stockton	0.4184
5	1151 m/(s^2)	0.6889	Computational Media	Technology and Information Management, Human Computer Interaction, Games and Playable Media, Electrical Engineering	Sam	0.0475	606	0.0513	2002	Sam	0.2748 N	Fremont	0.7283
5	1198 m/(s^2)	1.4269	Electrical Engineering	Bioinformatics	Tony	0.1464	182	0.2724	1108	Lise	-0.0556 N	San Jose, San Bernardino, Oakland	1.08
1	682 m/(s^2)	0.9908	Human Computer Interaction	Statistics	Michael	0.8731		0.7437	285	Michael	1.0236 N	n/a	1.0942
1	858 m/(s^2)	1.0736	Biotechnology	Statistics	Vani	1.2781	1008	0.9554	347	Michael	1.007 N	Oakland	1.1277
3	129 m/(s^2)	0.7025	Computational Media	Biotechnology	Andrew	0.9426	294	1.2999	1128	Tony	0.8522 N	San Francisco, Bakersfield	0.7339
5	914 m/(s^2)	0.9961	Applied Mathematics	Games and Playable Media, Technology and Information Management, Applied Mathematics	Fabrice	0.3655	737	0.2513	687	Eriq	0.1538 N	Fresno	0.9082
1	1369 m/(s^2)	1.0336	Human Computer Interaction	Statistics	Vani	1.1896	773	0.9577	184	Chris	0.882 N	San Jose, Oakland	1.2373
2	902 m/(s^2)	1.0427	Applied Mathematics	Computer Science	Fabrice	0.8463	534	0.9969	883	Andrew	1.2359 N	Long Beach	1.1756
1	1066 m/(s^2)	1.3912	Biotechnology	Computer Game Design	Vani	1.0171	1454	0.731	326	mICHAEL	0.3844 N	San Bernardino	0.8103
0	1276 m/(s^2)	0.7333	Electrical Engineering	Robotics Engineering	Andrew	1.0622	428	1.3418	500	Sam	0.8793 N	Santa Ana	0.1237
5	889 m/(s^2)	0.5805	Computational Media	Games and Playable Media	Inan	0.4418	79	1.217	814	Lise	0.4622 N	Fremont	1.2845
2	801 m/(s^2)	1.3769	Applied Mathematics	Data Science	Fabrice	1.1818	789	0.9444	716	Andrew	1.0486 N	Long Beach	0.6394
2	1025 m/(s^2)	0.7547	Applied Mathematics	Computer Science	Sam	0.947	400	0.546	1160	Andrew	0.845 N	Irvine	1.0664
2	840 m/(s^2)	0.8316	Applied Mathematics	Data Science	Eriq	0.8639	727	0.3978	1239	Andrew	0.8017 N	Long Beach	0.9389
5	1054 m/(s^2)	1.176	Technology and Information Management	Electrical Engineering, Technology and Information Management, Games and Playable Media, Human Computer Interaction, Applied Mathematics	sAM	0.0323	701	0.3497	964	Lise	0.2754 N	Fremont	1.3442
1	751 m/(s^2)	1.5211	Human Computer Interaction	Statistics	Vani	0.8249	549	0.6725	424	Chris	1.0963 N	San Bernardino	0.4194
1	269 m/(s^2)	0.6798	Biotechnology		Vani	1.0296	780	0.6607	-199	Chris	0.6019 N	Oakland, Modesto	0.041
4	613 m/(s^2)	0.0441	Games and Playable Media	Natural Language Processing	Lise	0.9533	1143	0.7917	1808	Eriq	1.1227 N	Santa Clarita, Sacramento, Anaheim	1.0851
2	1115 m/(s^2)	0.3955	Natural Language Processing	Data Science	Fabrice	1.1752	971	1.337	686	Inan	0.3487 N	Irvine	0.6488
1	653 m/(s^2)	1.0946	Human Computer Interaction	Statistics	Vani	0.7468	959	0.8906	0	Michael	0.7711 N	San Bernardino, San Jose	0.7524
1	908 m/(s^2)	0.7026	Natural Language Processing	Statistics	Vani	1.1475	1029	0.6328	73	Chris	0.6241 N	Modesto, San Bernardino, Oakland	1.0281
2	724 m/(s^2)	1.2227	Applied Mathematics	Data Science	Eriq	1.1101	861	0.8803	1442	Andrew	0.9466 N	Riverside, Santa Ana	0.2693
3	-90 m/(s^2)	0.1033	Bioinformatics	Bioinformatics	Chris	0.912	21	0.9419	1200	Tony	1.4563 N	san francisco	0.501
1	192 m/(s^2)	1.265	Biotechnology	Computer Game Design	Vani	0.9834	1181	0.3677	469	Michael	1.0508 N	Oakland	0.6068
5	1218 m/(s^2)	1.7219	Robotics Engineering	Human Computer Interaction, Electrical Engineering, Technology and Information Management	Tony	0.6416	628	0.1426	666	Lise	0.5095 N	Fresno, Fremont	1.1054
0	756 m/(s^2)	0.9883	Electrical Engineering	Computational Media	Michael	0.4276	51	1.1592	1095	Inan	0.8198 N	Stockton	0.269
3	493 m/(s^2)	1.0792	Bioengineering	Biotechnology	Chris	1.283	-62	0.9341	441	Fabrice	0.9495 N	San Francisco, San Diego	1.3406
2	898 m/(s^2)	0.7399	Natural Language Processing	Computer Science	Eriq	1.0857	687	0.8982	1378	Andrew	1.1376 N	Long Beach	1.2578
